,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
New Hampshire,"1,239,882","1,255,517","1,269,089","1,279,840","1,290,121","1,298,492","1,308,389","1,312,540","1,315,906","1,316,102","1,316,872","1,318,473","1,321,182","1,322,687","1,328,743","1,330,111","1,334,795"
New Jersey,"8,430,621","8,492,671","8,552,643","8,601,402","8,634,561","8,651,974","8,661,679","8,677,885","8,711,090","8,755,602","8,803,729","8,841,243","8,873,211","8,899,162","8,925,001","8,935,421","8,944,469"
New Mexico,"1,821,204","1,831,690","1,855,309","1,877,574","1,903,808","1,932,274","1,962,137","1,990,070","2,010,662","2,036,802","2,064,756","2,077,756","2,083,784","2,085,193","2,083,024","2,080,328","2,081,015"
New York,"19,001,780","19,082,838","19,137,800","19,175,939","19,171,567","19,132,610","19,104,631","19,132,335","19,212,436","19,307,066","19,402,640","19,519,529","19,602,769","19,673,546","19,718,515","19,747,183","19,745,289"
North Carolina,"8,081,614","8,210,122","8,326,201","8,422,501","8,553,152","8,705,407","8,917,270","9,118,037","9,309,449","9,449,566","9,558,915","9,650,963","9,746,175","9,841,590","9,934,399","10,035,186","10,146,788"
North Dakota,"642,023","639,062","638,168","638,817","644,705","646,089","649,422","652,822","657,569","664,968","674,526","685,476","702,087","724,019","739,904","756,835","757,952"
Ohio,"11,363,543","11,387,404","11,407,889","11,434,788","11,452,251","11,463,320","11,481,213","11,500,468","11,515,391","11,528,896","11,540,983","11,544,824","11,550,839","11,570,022","11,594,408","11,605,090","11,614,373"
Oklahoma,"3,454,365","3,467,100","3,489,080","3,504,892","3,525,233","3,548,597","3,594,090","3,634,349","3,668,976","3,717,572","3,759,603","3,786,274","3,817,054","3,852,415","3,877,499","3,907,414","3,923,561"
Oregon,"3,429,708","3,467,937","3,513,424","3,547,376","3,569,463","3,613,202","3,670,883","3,722,417","3,768,748","3,808,600","3,838,048","3,868,031","3,899,116","3,925,751","3,968,371","4,024,634","4,093,465"
Pennsylvania,"12,284,173","12,298,970","12,331,031","12,374,658","12,410,722","12,449,990","12,510,809","12,563,937","12,612,285","12,666,858","12,712,343","12,744,293","12,771,854","12,781,338","12,790,565","12,791,904","12,784,227"
Rhode Island,"1,050,268","1,057,142","1,065,995","1,071,342","1,074,579","1,067,916","1,063,096","1,057,315","1,055,003","1,053,646","1,053,337","1,052,451","1,052,901","1,053,033","1,054,480","1,055,607","1,056,426"
South Carolina,"4,024,223","4,064,995","4,107,795","4,150,297","4,210,921","4,270,150","4,357,847","4,444,110","4,528,996","4,589,872","4,635,943","4,672,637","4,720,760","4,767,894","4,828,430","4,894,834","4,961,119"
South Dakota,"755,844","757,972","760,020","763,729","770,396","775,493","783,033","791,623","799,124","807,067","816,325","824,398","834,441","844,922","852,561","857,919","865,454"
Tennessee,"5,703,719","5,750,789","5,795,918","5,847,812","5,910,809","5,991,057","6,088,766","6,175,727","6,247,411","6,306,019","6,356,671","6,397,634","6,454,306","6,494,821","6,544,663","6,595,056","6,651,194"
Texas,"20,944,499","21,319,622","21,690,325","22,030,931","22,394,023","22,778,123","23,359,580","23,831,983","24,309,039","24,801,761","25,244,310","25,646,389","26,071,655","26,473,525","26,944,751","27,429,639","27,862,596"
Utah,"2,244,502","2,283,715","2,324,815","2,360,137","2,401,580","2,457,719","2,525,507","2,597,746","2,663,029","2,723,421","2,775,326","2,816,124","2,855,782","2,902,663","2,941,836","2,990,632","3,051,217"
Vermont,"609,618","612,223","615,442","617,858","619,920","621,215","622,892","623,481","624,151","624,817","625,982","626,730","626,444","627,140","626,984","626,088","624,594"
Virginia,"7,105,817","7,198,362","7,286,873","7,366,977","7,475,575","7,577,105","7,673,725","7,751,000","7,833,496","7,925,937","8,025,773","8,110,035","8,192,048","8,262,692","8,317,372","8,367,587","8,411,808"
Washington,"5,910,512","5,985,722","6,052,349","6,104,115","6,178,645","6,257,305","6,370,753","6,461,587","6,562,231","6,667,426","6,743,226","6,822,520","6,895,226","6,968,006","7,054,196","7,160,290","7,288,000"
West Virginia,"1,807,021","1,801,481","1,805,414","1,812,295","1,816,438","1,820,492","1,827,912","1,834,052","1,840,310","1,847,775","1,854,230","1,854,972","1,856,560","1,853,231","1,848,514","1,841,053","1,831,102"
Wisconsin,"5,373,999","5,406,835","5,445,162","5,479,203","5,514,026","5,546,166","5,577,655","5,610,775","5,640,996","5,669,264","5,690,263","5,709,640","5,726,177","5,742,854","5,758,377","5,767,891","5,778,708"
Wyoming,"494,300","494,657","500,017","503,453","509,106","514,157","522,667","534,876","546,043","559,851","564,513","567,725","576,765","582,684","583,642","586,555","585,501"
